index,image,label
64504,455989,1
56222,129362,1
113418,657713,1
44387,319894,1
61181,815819,0
220049,807376,0
182367,399876,1
126883,14706,1
35707,233333,0
234260,34948,0
161710,94763,0
137112,936607,0
195238,468336,1
38669,318915,0
210396,4395,0
173955,129561,1
198796,335951,1
181595,72778,0
205250,282436,1
176186,728168,1
123742,907868,0
42340,895743,1
189753,11144,0
102864,416444,0
243482,81293,0
66881,941726,1
204731,252100,0
63067,610325,1
15556,464666,0
46657,850953,1
254506,289976,1
236339,751281,0
17654,745918,1
46857,262335,0
164791,866381,1
131214,653829,1
157512,821387,0
108797,20227,0
66093,457706,0
69828,95557,0
6803,766497,0
101240,328125,1
102206,393687,0
64294,796188,0
225978,206239,0
236882,10229,0
167049,857521,1
887,689762,1
70965,30623,0
255485,57282,0
165099,902909,1
184158,833777,1
234265,35218,1
12829,759711,1
28265,288409,0
113687,426315,1
161011,63392,0
32467,839080,0
215655,487260,0
117664,404406,1
40096,702892,1
149326,9271,0
77933,472635,1
71359,577365,0
68331,284785,1
135321,7356,0
196557,546661,1
94083,846612,1
34505,914321,1
108627,20593,0
197586,84176,0
173033,436414,1
83601,620980,0
119794,701919,0
212064,447061,0
29257,663991,0
131582,59435,0
147390,105125,0
117801,687084,0
28793,656887,0
245108,17742,1
252418,314726,0
174647,603787,1
104954,14290,0
255271,868518,0
49245,111078,0
19137,274790,1
107860,6783,0
85070,674143,1
3395,894230,1
75309,306896,0
106427,914328,0
241260,730333,0
188361,32159,0
110615,15012,1
141356,197846,1
128920,696871,1
86636,697300,1
8534,42594,0
237276,473436,1
237184,102676,1
62500,298974,0
220583,69137,0
146578,169279,1
189123,71,1
201532,859270,0
25537,450472,0
118459,267739,1
224207,105394,0
228284,642504,0
145228,190993,0
37724,829758,1
108630,20553,0
114126,426736,1
143421,682347,1
250582,571814,1
233809,265830,0
113519,470994,0
212620,27158,0
130010,13335,1
79653,524724,1
28923,680742,1
118258,802968,1
188619,722101,0
194491,267237,0
239407,563950,1
40773,76577,1
129755,703185,0
52644,26008,0
26931,122012,0
213565,202924,0
174746,935973,1
7757,732312,1
124820,31240,0
133127,43002,1
159435,115482,1
49805,240065,0
72351,824827,1
64717,334299,0
7242,643137,1
83933,640398,1
169204,648285,0
141965,120064,1
137512,422233,0
230166,573894,0
224327,80279,0
29763,350065,0
244292,50551,1
238414,676367,0
186831,315095,0
240002,938895,1
103283,433554,1
236511,19808,0
