index,image,label
48,954013,1
56,954141,1
74,953097,1
135,953816,1
229,771399,1
341,930790,0
481,444966,1
544,149545,0
565,147906,0
590,149553,1
615,149516,1
759,775015,1
776,774992,0
803,775702,1
815,689637,1
845,688205,1
861,689702,1
874,689729,1
887,689762,1
938,307079,1
957,307196,1
966,308245,1
968,308647,0
980,307267,1
1057,308709,0
1150,350916,0
1165,350871,1
1280,349888,1
1291,267110,1
1293,268694,0
1341,268348,1
1357,267236,0
1370,268728,0
1375,268321,1
1383,268057,0
1392,268860,0
1420,916843,1
1435,916625,1
1508,832366,1
1540,832273,1
1583,7088,0
1663,7026,0
1681,7108,1
1683,7029,0
1755,295735,0
1795,295850,0
1854,295853,0
1865,690895,0
1896,689976,0
1900,691642,1
2053,293336,0
2076,691289,1
2226,441784,1
2271,442416,1
2296,735939,1
2310,735156,1
2336,736096,1
2427,736015,1
2431,164657,1
2442,163945,1
2472,165986,1
2506,164472,0
2682,165675,0
2748,165781,0
2775,165934,0
2819,164382,0
2987,633662,1
3034,631262,1
3125,633316,1
3198,677817,1
3239,677717,1
3312,677533,1
3391,894009,1
3395,894230,1
3431,894361,1
3471,957753,1
3525,73933,0
3540,73466,0
3653,73808,0
3683,73388,0
3776,712709,0
3790,714229,0
3827,712420,1
3849,713942,1
3950,714525,0
4051,725785,0
4065,725728,0
4085,725924,1
4179,364819,0
4328,364795,0
4357,291827,0
4368,291266,1
4381,291593,0
4481,291815,1
4551,290294,1
4557,291436,0
4560,289918,0
4563,291418,1
4625,290902,1
4674,311728,0
4688,312436,0
4693,310783,1
4712,312526,0
4752,311386,1
4765,313231,0
4808,311479,1
4952,310909,0
5025,312730,0
5138,400915,1
5327,399768,1
5376,815930,1
5473,815977,1
5613,775542,0
5653,776124,0
5669,774798,0
5670,774707,0
5680,775657,0
5685,776293,0
5700,776163,1
5776,838173,1
5784,837710,1
5791,838351,1
5857,163461,1
5910,163316,0
5924,162023,1
5954,163319,0
5973,163571,0
